Akte_Kelahiran
550
539
513
541
537
571
437
670
569
602
555
458
482
438
562
507
575
480
802
790
517
870
622
491
1504
1171
1594
1311
1220
706
2165
1315
1961
1900
1323
1241
694
521
630
537
487
504
737
548
598
720
626
554
512
501
514
380
323
665
514
404
424
468
534
486
